Explain me about PAC Requisition,"This tab is minimized. Click on the “+” button next to the PAC Requisition label to
expand the tab. Through this tab, the doctor can raise requests for any procedures or surgeries
requiring a Pre-Anesthesia Check Up (PAC). Following the PAC, the complete process of
procedures or surgeries can be recorded in the OT module",
What can I do if a drug is missing in the Drug List of HMIS?,Please Contact the Support team via mail- supporthmis@railtelindia.com to update the drug by sharing the necessary details,
In how many ways can you assist me? ,"I can assist you in many ways, depending on your Queries in OPD and HMIS",
What is Rx Page ? Give me an overview.,"Rx refers to the prescription issued during an Outpatient Department (OPD) consultation. It is a formal document prepared by the doctor that outlines the diagnosis, prescribed medications, recommended treatments, and any necessary follow-up instructions. The prescription serves as a guide for the patient’s treatment plan and is essential for ensuring proper medical care based on the patient's condition.",
What is your purpose? ,"My purpose is to assist you by providing accurate, helpful, and clear information or support regarding OPD queries",
How can I know a patient registration is valid or not?,Based on the UMID Card Validity and the Eligibility the Patient Category will be shown in HMIS.Hence the Validity of the Patient Eligibilty can be verified,
How can I record multiple complaints received from the patient?,The initial complaint can be entered in the search box. This box is for recording standard complaints allows multipl selections,
Who developed this portal? ,"The HMIS (Hospital Management Information System) portal used by Indian Railways was developed by RailTel Corporation of India Ltd., a Public Sector Undertaking (PSU) under the Ministry of Railways, in collaboration with the Centre for Development of Advanced Computing (CDAC).",
I am unable to login to the portal. What can I do now?,"you’re unable to log in to the HMIS portal, first make sure you are entering the correct username and password without any mistakes. If you’ve forgotten your password, use the “Forgot Password” option to reset it through your registered email or mobile number. Try clearing your browser’s cache and cookies or use a different browser or device to see if that helps. Also, check if your account is locked or inactive by contacting support Team. If you still can’t log in, reach out to the HMIS support team with your username and any error messages for further assistance.",
How can I refer a patient from my department to a super speciality unit in my hospital?,"Navigate to the referral section.
Click on the ""Routine"" option.
Select the desired department to which the patient is being referred.
Click on the ""Add"" button to confirm the referral.
Save the prescription to finalize the referral process.",
Where can I see my previous patients list?,Option to view the list of patients from previous days by adjusting the date in the OPD desk.,
What is a sample-wise-lab-report?,"Doctors can view detailed investigations conducted on the patient, organized by sample number. This report includes parameter-specific results and their respective reference ranges. This allows doctors to make informed decisions before the complete PDF generation process is completed for these specific investigations. Once the PDF is generated for the relevant investigations, doctors can access it through the patient's EMR desk also. This functionality serves both emergency situations and regular clinical use, offering the flexibility to view results on a sample-by-sample basis as needed.",
What happens if I try to save a prescription without Chief Complaint or Diagnosis?,"An error will be shown if the Chief Complaints or Diagnosis fields are left blank in the prescription, as these are mandatory fields for saving any prescription.",
Can I add clinical notes for a visit without finalizing the prescription?,"The doctor can enter clinical notes regarding the patient's visit to the hospital, documenting observations, findings, and relevant medical information.",
Which information should I maintain confidential while attending a patient through this platform? ,"While using the HMIS system, you must keep the patient’s personal and medical information private. This includes their name, age, contact number, ID numbers, diagnosis, prescriptions, and reports. Do not share this information with anyone or on social media. Don’t take screenshots or print anything unless allowed. Always log out after use and report any issues to the hospital’s IT team or HMIS Support team.
",
Can I overwrite vitals already saved by nursing staff?,"The doctor also has the option to edit the vitals on the prescription page. Vitals are permanently recorded only when
the doctor saves the prescription page; otherwise, they remain as a draft.",
What do you know about HMIS? ,"The Hospital Management Information System (HMIS) is a digital platform used in Indian Railway hospitals to manage patient care and hospital operations more efficiently. It helps with tasks like patient registration, doctor consultations, prescriptions, lab tests, pharmacy, and billing—all in one system. HMIS also keeps electronic medical records so doctors can easily access a patient's history. It is linked with the UMID card, which allows Railway employees and their dependents to use hospital services smoothly. The system was developed by RailTel in collaboration with CDAC and helps reduce paperwork, save time, and improve the overall hospital experience.",
I'm a doctor new to this platform suggest me what to do? ,"As a doctor new to the HMIS platform, start by logging in with your username and password. Once inside, explore the main sections like OPD Desk, Vitals, Prescription (Rx), and Investigations. To see your patients, go to the OPD Registered Patient List and click on a patient’s name to begin their consultation. You can enter clinical notes, prescribe medicines, and order lab tests directly from the system. The “I” button on the Rx page shows useful keyboard shortcuts. You can also use bookmarks to save and reuse common prescriptions. Always log out after use, and if you face any issues, contact your hospital’s IT team or a senior colleague for help. Remember to keep all patient information confidential.",
Any guidelines to follow while navigating through the platform?,"When using the HMIS platform, always log in with your own username and password and keep them private. Learn the main sections like OPD Desk, Vitals, Prescription, and Investigations. Only access patient information you need for treatment and enter details clearly and accurately. Use bookmarks to save time, and always log out when you’re done or stepping away. Avoid clicking on areas not related to your work, and report any problems to the IT team right away. Follow your hospital’s rules for using the system and keeping patient information safe.",
How do I search for a patient in my list using their UMID number?,"A Search function is included within the list of referral patients, allowing doctors to quickly find patients by name, CR number, or UMID card number while accepting individual
patient.",
How can I recover my login credentials of HMIS?,"If you forget your HMIS login details, go to the login page and click on “Forgot Password.” Enter your PF Number by entering OTP through registered Mobile Number to reset your password. Follow the instructions to create a new password. Keep your password safe and don’t share it with others.",
Can you provide any emergency contact?,Emergenecy Contact of any railway hospital is available in HMIS Mobile App in Enquiry Section,
How do I delete a chronic disease already recorded for the patient?,"UMID (Unique Medical Identity Card) system, chronic disease status can be updated by selecting the Pension Scheme as ""Pension without FMA"" (Fixed Medical Allowance)",
What is the difference between regular doctor desk service and doctor desk lite?,"Both service desks are functioning similarly, except for the difference in speed.",
Can you provide any official documents about OPD services?,"Yes, the OPD Manual is available in Helpdesk option in HMIS",
How can I revoke a drug?,"To remove a prescribed drug from a prescription within the OPD module, you can reopen the patient's prescription and locate the ""Revoke"" option under the drugs section. Clicking on this option allows you to remove the prescribed drug from the prescription. After removing the drug, remember to save the updated prescription again to ensure that the changes are applied and recorded accurately",
What should I do if a patient doesn’t show up when their turn comes?,"If a patient does not show up when their turn arrives, the OPD Desk Lite provides a 'Skip' option, which changes the patient's status from 'Waiting' to 'Skipped'",
Can I upload previous reports to the patient?,"No, the OPD Page will show the reports uploaded from the Lab directly. Hence there is no need to upload the reports unless the report other than in HMIS can be uploaded through File Upload in Rx Page.",
"What are CT,ET,HT and OT?","The ""Chief Complaint"" tab,there are four buttons: Complaint Template (CT), Examination Template (ET), History
Template (HT), and Other Templates (OT). Clicking any of these buttons opens a pop-up window with templates available for selection. These templates are custom-designed to meet the requirements of doctors or hospitals. The doctor can select any template, record parameters as configured, and save it. A separate PDF is generated and appended to the patient's
prescription.",
What is UMID? Explain.,"UMID stands for Unique Medical Identity Card. It is a centralized health identity system developed by Indian Railways to streamline and digitize healthcare services for its employees, pensioners, and their dependents.","UMID, which stands for Unique Medical Identity, is a system designed to provide individuals—particularly government employees and pensioners—with a single, unified medical identity card. This card facilitates access to healthcare services by consolidating a person’s medical and pension-related information into one platform. The UMID system streamlines the process of availing medical benefits, ensuring that eligible beneficiaries can efficiently receive healthcare without redundant paperwork or verification. By integrating medical records, pension schemes, and other related data, UMID enhances transparency, reduces fraud, and improves the overall delivery of government medical services. It is especially useful in managing chronic disease statuses and pension-related medical entitlements, making healthcare access more organized and accessible for beneficiaries."
How do I book an appointment online for OPD?,"Please Log in to the HMIS mobile app with Registered Mobile Number,Once logged in, navigate to Services and then OPD Appointment later select Hospital Name and then departments. Select the date and time then save to take the appointment online through HMIS Mobile App.",
Can I choose the doctor while booking my appointment?,"No, appointments are scheduled based on the department and units, not with individual doctors.",
How can I see the doctor’s notes after my OPD visit?,The Prescription saved by the Doctor can be viewed in Railways HMIS Mobile App,
How do I get my lab test reports after the doctor orders them?,The Test Reports can be viewed in Railways HMIS Mobile App,
How do I know if my doctor has referred me to another hospital?,"The Referral raise will saved in the Prescription by Doctor, If referred for Private Hospital then the referral letter will be generated and can be viewed in Railways HMIS Mobile App ",
How do I contact my doctor if I have doubts after OPD hours?,Currently there no provision to contact the Doctor after OPD hours but the patient can visit the hospitals and get treated by the Duty Doctors,
Can I book an appointment for a family member using my UMID number?,"No, family members will have their own UMID cards and can be registered using their individual cards under their respective names.",
What is the difference between OPD and IPD?,"OPD (Outpatient Department) and IPD (Inpatient Department) are two parts of a hospital that serve different purposes. OPD is for patients who come to the hospital for a check-up, diagnosis, or minor treatment and go back home the same day. They do not need to stay in the hospital. In contrast, IPD is for patients who are admitted to the hospital and stay there for one or more days to get treatment, surgery, or close monitoring. The main difference is that OPD patients do not stay in the hospital, while IPD patients do.",
Can I request an earlier follow-up if my condition worsens?,"Yes, also the Rx Page has option as SOS which means the Patient can visit the hospital as per the requirement",
Can I see which doctor attended me in each visit?,"Yes, the Prescription saved will have the Doctor name along with the date and time generated",
How do I check the expected charges if I’m referred outside?,"The Referral raise will saved in the Prescription by Doctor, If referred for Private Hospital then the referral letter will be generated and can be viewed in Railways HMIS Mobile App ",
How will I be notified when my blood test results are ready?,These can be tracked in HMIS Mobile App in Sample Wise Lab Report,
Can I request a specific doctor during follow-up?,"No, Currently there is no provision to select the Doctor on follow up",
What happens if I arrive late for my appointment — will I lose my slot?,"No, Registration will still be shown in HMIS and patient can avail the treatment",
How do I know which department I should select while booking?,"Please Log in to the HMIS mobile app with Registered Mobile Number,Once logged in, navigate to Services and then OPD Appointment later select Hospital Name and then departments. Select the date and time then save to take the appointment online through HMIS Mobile App.",
What should I do if I don’t understand the test results?,Please Contact the Doctor in the Nearby Railway Hospital by showing the results,
How do I tell the doctor about my medicine allergy in OPD?,"Please inform doctor orally and he has option to record a patient's allergies, click the button to expand a tab with several fields to fill in. Start by typing the allergy name—a list of common allergies will appear, but you can also enter a custom name. Then, choose the sensitivity level from a dropdown menu and enter how many years the patient has had the allergy. In the allergy side field, type the location of the allergy; suggestions will appear, but custom entries are allowed. Next, type the symptoms, again with suggested options or your own text. Use the remarks section to add any extra details or instructions. Click ""Add"" to include the allergy in the list—you can add more than one. If you need to remove an allergy, click ""Delete"". For any additional allergies that don't fit these fields, use the ""Other Allergies"" section to provide a detailed description.",
How do I know my queue number in the OPD?,It can be referred in Mobile App as well as in the OPD Slip,
What should I do if my appointment is skipped by my doctor?,"When a patient does not turn up for their appointment as per their turn, the doctor can click this
button to exclude the patient's name from the queue system. However, the doctor still has the
option to record a prescription for a patient who has been skipped. This ensures the patient is
removed from the queue system but can still receive medical attention if needed.",
How do I schedule the patient’s next follow-up visit?,"The doctor can set up the patient's next visit using a few simple options. By default, the SOS box is checked, which means the visit is as needed, but the doctor can uncheck it if not required. They can also choose to enter the number of days until the next visit or select a specific date for the appointment. If the doctor wants to clear the entered days or date, they can click the Refresh button to reset those fields.
",
Can I edit vitals if I entered them incorrectly?,"The doctor also has the option to edit the vitals on the prescription page. Vitals are permanently recorded only when
the doctor saves the prescription page; otherwise, they remain as a draft.",
How do I notify the doctor if a patient’s urgent lab result is available?,Lab Reports of the patient are visible in Rx Page,
Where can I see the lab reports once they are ready?,Lab Reports option is availble in Rx Page,
Can I remind a patient about their next appointment date?,"Yes, It can be mentioned in the Prescription and patient will get to know the same",
What is the need to use this portal?,"The HMIS (Health Management Information System) portal is used to collect, manage, and analyze health data from various healthcare facilities across the country. It helps improve decision-making by providing accurate and timely information on health services, disease trends, and resource allocation. By using the HMIS portal, government and health officials can monitor public health programs, track progress, identify gaps, and plan better interventions to improve healthcare delivery, especially in rural and underserved areas.",
What all can I do in this portal? ,"In the HMIS portal, you can enter and manage health data from hospitals and health centers, such as information on patients, diseases, treatments, and healthcare services provided. You can also view reports, analyze health trends, and monitor the performance of various health programs. The portal allows health workers and officials to track progress, identify problem areas, and make informed decisions to improve healthcare delivery. It supports better planning, resource allocation, and helps ensure accountability in the health system.",
What is Emr desk?,"The EMR Desk refers to the Electronic Medical Record desk, which stores the complete details of patients who visit hospitals. It includes information such as patient history, diagnosis, treatments, medications, and follow-up records. This digital system helps in maintaining accurate and accessible health records, improving patient care, and supporting efficient hospital management.",
What is the difference between a physician and a surgeon?,"A physician is a medical doctor who diagnoses and treats illnesses using medicines and other non-surgical methods. They focus on managing general health problems, chronic diseases, and providing preventive care. A surgeon, on the other hand, is a doctor who is specially trained to perform operations to treat injuries, diseases, or deformities. While both are medical doctors, the main difference is that physicians usually treat with medicine, while surgeons treat through surgery when needed.",
What does OPD mean in simple words?,"OPD is Outpatient Department where patients visit doctors for consultations, treatment, and regular medication",
What is UMID-based patient registration and non-UMID patient registration? Is there any difference between these services or facilities?,"
UMID-based patient registration uses the Unique Medical Identity (UMID) of a patient, which is a unique ID given to individuals for accessing health services. When a patient has a UMID, their medical records can be easily retrieved and linked across different hospitals or health centers, making treatment faster and more accurate.

and Non-UMID patient registration is used when the patient does not have a UMID. In such cases, their details are entered manually, and a temporary oCR Number will be given. However, their medical history may not be easily accessible across different facilities.

The main difference between the two is that UMID-based registration allows centralized access to a patient’s medical history, while non-UMID registration does not. UMID improves continuity of care, reduces duplication of tests, and helps in better record-keeping across the health system.",
What is the process to get a duplicate OPD card?,"A Duplicate OPD Card includes extra details like the patient’s ward entitlement and the chosen health unit. In contrast, the regular OPD queue slip only shows the queue number, UMID, and department information. The duplicate card provides more complete information about the patient’s visit.",
What is the process to generate the CR number?,"The hospital staff uses the UMID-based registration service when a patient provides their UMID card or related details like mobile number or Aadhaar number. This is used to register the patient in a specific department during their first visit to the hospital. Once registered, a CR number is generated and linked to the UMID, and the same CR number can be used across all hospitals that are connected to the UMID system, ensuring continuity of care and easy access to the patient’s medical history.",The Hospital Staff has access of UMID Based Registration service in which the Patient provides the UMID card or any details associated with UMID like Mobile Number or Aadhar to register to specific department for the first time visit in the hospital and later the same CR  number continues across all hospitals
What is the difference between a UMID number and a CR number?,A UMID number (Unique Medical Identity) is a unique ID given to a patient that can be used across all hospitals and health centers and CR number (Central Registration number) is a unique ID given to a patient only within a specific hospital and maintains the Medical record in the same CR Number,
Can I generate a CR number both online and offline?,"The process of generating a CR number is completely online and is done through the HMIS portal using the patient’s UMID. This means the CR number is automatically created and linked to the UMID within the system, making patient registration faster and more efficient.","No, the process of generating CR Number is completely Online and is generated within the HMIS Portal through UMID"
"Just like a duplicate OPD card, is there any duplicate or temporary CR number for new patients?","A completely new patient won’t have a temporary CR number because it is only created when they register for the first time. If they have visited the hospital before, their existing CR number will be used.",A completely new patients will not have any temporary CR Number unless he has already visited the Hospital previously
How many hospitals are there under Indian Railways?,"A total of 711 hospitals have been added to the HMIS system, including Central Hospitals, Divisional Hospitals, Sub-Divisional Hospitals, and Health Units.",
Is there any possibility to select a particular room number in a particular hospital?,"Yes, the Department and their units are created according to specific room in the hospital and the Doctor can switch to the same in OPD Module of  HMIS Portal",
Is there any limit for UMID holders or their family members to visit the hospital per month?,"No, there is no limitation. UMID card holders can visit the hospital anytime and receive treatment whenever there is necessary.",
"Do medical services or facilities depend on the employee’s or pensioner’s department and designation, or are all treated the same?","No, there is no difference in how patients are treated. Hospital staff make sure every patient receives the same care, regardless of their designation.",
How can I find out which category applies to me and my family members?,Based on the Employee Service the Category will be given as Employee/Pensioner and their dependents,
"If login credentials are lost, is there an alternative method to log in?","If you forget/lost your HMIS login details, go to the login page and click on “Forgot Password.” Enter your PF Number by entering OTP through registered Mobile Number to reset your password. Follow the instructions to create a new password. Keep your password safe and don’t share it with others.",
Is it possible to reschedule my appointment date?,Yes in HMIS Mobile App there is provision to reschedule the Appointment,
Can you give me a flowchart showing the registration and OPD process step by step?,Please refer to Youtube Channel IR HMIS,
How many dental appointment rooms will be available tomorrow morning at South Central Railway Hospital?,"Please Log in to the HMIS mobile app with Registered Mobile Number,Once logged in, navigate to Services and then OPD Appointment later select Hospital Name and then departments the available slots can be viewed.",
What happens if the hospital is not well-equipped for treatment? Do they transfer patients to another hospital or cancel the treatment?,"Yes, the referral can be raised to another Railway Hospital or to the Private Empanelled Hospital based on the requirement. Also the treatment will not be cancelled as ensuring the patient medication comes first.",
How long is an OPD valid for?,A patient registerd for OPD has Validity till the completion of Day if he visits next day then he has to register to OPD again,
"Can you provide statistics for employees, pensioners, and their family patients?",This Can be Viewed in reports of Registration Module,
What is the OPD data for each department?,This Can be Viewed in reports of Registration Module,
What is the OPD data for each unit?,This Can be Viewed in reports of Registration Module,
What are the minimum and maximum durations for temporary CR numbers ?,A Temporary CR Number which is registered will have Validity of 72 hours,
"Can an expired temporary CR number be renewed, and if so, how?","Yes, the Validity of Temporary CR Number can be extended by using Change Patient Category service in Registration module of HMIS",
"Can we add unlimited family members to a UMID card, or is there a restriction?","Updation of dependents in UMID are based on their eligibility, If Eligible, Yes you can add the members",
"Please explain the differences between OPD Desk Lite, OPD Doctor Desk, OPD Doctor Desk Ultra Lite, EMR Desk and other desks.",These are the Services that gives the patient details and to write prescription. OPD Desk Lite and OPD Dr desk Lite has the Same services writing prescriptions with difference in Loading speed and EMR Desk will have the complete detaiils of the patient medical record,
How do I upload external MRI reports to the EMR?,"The doctor can upload any document related to the patient that should be available in the patient's EMR.
Clicking this button opens a pop-up window where the document type can be selected. Click the Add
File button to select the file to be uploaded. (Only .pdf files, size less than 5 MB, will be uploaded. Do
not use any special characters in the filename.) Click the Start Upload button to save the document to
the patient's record. These uploaded documents can be viewed in the patient's EMR under the
Documents Tab.",
How do I upload supporting files into EMR during OPD?,"The doctor can upload any document related to the patient that should be available in the patient's EMR.
Clicking this button opens a pop-up window where the document type can be selected. Click the Add
File button to select the file to be uploaded. (Only .pdf files, size less than 5 MB, will be uploaded. Do
not use any special characters in the filename.) Click the Start Upload button to save the document to
the patient's record. These uploaded documents can be viewed in the patient's EMR under the
Documents Tab.",
How do I mark the end of treatment for current diagnosis?,"End Treatment for Current Diagnosis option is available in Rx Page of OPD and By default, this radio button is set to 'No.' If the
treatment is completed, the doctor must select 'Yes' to close the episode.",
How do I mark a procedure as urgent?,"The doctor can provide remarks to be viewed by personnel at the service area
during the administration of the procedure.The doctor can provide remarks to be viewed by personnel at the service area
during the administration of the procedure.",
How do I view real-time updates of queue status?,The Queue status in real time is updated automatically once the prescritpion from the OPD Desk is generated.,
Can I merge duplicate CR numbers in OPD desk?,"No, the provision of Merging CR Number is available in Registration Module.",
Can I view attended patients again in the patient list from prescription page?,"Yes, the option to view the Rx Page of Attended patient is availble in OPD",
How do I confirm if patient has undergone previous admissions?,"The Past Rx and the EMR desk has the details of the admission, Doctor can view the admission done and treatment advised.",
Where can I record a sick/fit certificate for employees with UMID?,"Sick and Fit is available only for employees with a valid UMID card.
Clicking this button in OPD opens a pop-up window to advise on Sick & Fit certifications for
employees. Detailed explanations on Sick & Fit certifications are provided in the separate user
manual and the IRHMIS YouTube channel.",
Where can I open lab reports in graphical trend format?,"Lab Reports option is available in OPD, Clicking this button Lab Report Analyzer will open in pop up window where doctor can view all the tests results. On left of tab lists of test completed to the patient will be displayed on click of the test name details of the results will show on right side. When a test component is being found more than once in a particular patient report than a “Trend” is generated. Click on trend button to view the tests result in a graphical representation.",
Can I assign priority levels to different investigations?,"Next to the date column, in Investigations/Radiology Section, Select the priority. By default, ""Routine"" is selected.
The doctor can choose Routine/Urgent/Managed in Baseline (MIB) from the dropdown.",
Can I see investigations ordered by other departments?,"Yes, In Past Rx and EMR option, the Doctor can view the Investigations raised in another department as well as in Another hospital",
How do I raise an admission request from OPD desk?,"OPD Rx Page has Admission Advice Tab, Normally, this tab is minimized. Click on the ""+"" button next to the Admission Advice label to expand the tab. Through this tab, the doctor can schedule the patient's treatment as an inpatient by raising an admission request. Following the admission request, the concerned ward in charge will admit the patient through the single-window admission desk.",
Can I link admission with UMID card verification?,"Admission is done basis on the CR Number, Hence it is not necessary to link admission with UMID Card",
